,Time,pitch,yaw,roll,surge,heave,roll
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,2.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,2.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,3.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,3.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,4.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,4.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,5.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,5.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,6.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,6.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,7.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,7.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,8.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,8.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,9.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,9.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,10.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,10.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,11.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,11.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,12.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,12.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,13.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,13.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,14.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,14.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,15.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,15.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,16.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,16.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,17.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,17.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,18.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,18.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,19.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,19.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
